I18NDefault#33uf Condensadore#33 uf Condensadore
I18NDefault#10uf Condensadore#10 uf Condensadore
I18NDefault#22uf Condensadore#22 uf Condensadore
I18NDefault#330nf Condensadore#330 nf Condensadore
I18NDefault#2200nf Condensadore#2200 nf Condensadore
I18NDefault#1000pf Condensadore#1000 pf Condensadore
I18NDefault#0.0047uf Condensadore#0.0047 uf Condensadore
I18NDefault#100nf Condensadore#100 nf Condensadore
I18NDefault#1uf Condensadore#1000 nf Condensadore
I18NDefault#4700pf Condensadore#4.4 nf Condensadore
I18NDefault#10a Fusible#10 a Fusible
I18NDefault#5a Fusible#5 a Fusible
I18NDefault#1a Fusible#1 a Fusible
I18NDefault#3a Fusible#3 a Fusible
I18NDefault#10a Contactore#10 a Contactore
I18NDefault#12v Contactore#12 v Contactore
I18NDefault#24v Contactore#24 v Contactore
I18NDefault#12v Rele#12 v Rele
I18NDefault#24v Rele#24 v Rele
I18NDefault#48v Rele#48 v Rele
I18NDefault#10a Rele#10 a Rele
I18NDefault#5a Rele#5 a Rele
I18NDefault#12v alimentacion#12 v alimentacion
I18NDefault#24v alimentacion#24 v alimentacion
I18NDefault#48v alimentacion#48 v alimentacion
I18NDefault#110v alimentacion#110 v alimentacion
I18NDefault#240v alimentacion#240 v alimentacion
I18NDefault#10ohm Resistencia#10 ohm Resistencia
I18NDefault#1ohm Resistencia#1 ohm Resistencia
I18NDefault#100ohm Resistencia#100 ohm Resistencia
I18NDefault#5ohm Resistencia#5 ohm Resistencia

