I18NDefault#33uf capacitor#33 uf capacitor
I18NDefault#10uf capacitor#10 uf capacitor
I18NDefault#22uf capacitor#22 uf capacitor
I18NDefault#330nf capacitor#330 nf capacitor
I18NDefault#2200nf capacitor#2200 nf capacitor
I18NDefault#1000pf capacitor#1000 pf capacitor
I18NDefault#0.0047uf capacitor#0.0047 uf capacitor
I18NDefault#100nf capacitor#100 nf capacitor
I18NDefault#1uf capacitor#1000 nf capacitor
I18NDefault#4700pf capacitor#4.4 nf capacitor
I18NDefault#10a fuse#10 a fuse
I18NDefault#5a fuse#5 a fuse
I18NDefault#1a fuse#1 a fuse
I18NDefault#3a fuse#3 a fuse
I18NDefault#10a contactor#10 a contactor
I18NDefault#12v contactor#12 v contactor
I18NDefault#24v contactor#24 v contactor
I18NDefault#12v relay#12 v relay
I18NDefault#24v relay#24 v relay
I18NDefault#48v relay#48 v relay
I18NDefault#10a relay#10 a relay
I18NDefault#5a relay#5 a relay
I18NDefault#12v power supply#12 v power supply
I18NDefault#24v power supply#24 v power supply
I18NDefault#48v power supply#48 v power supply
I18NDefault#110v power supply#110 v power supply
I18NDefault#240v power supply#240 v power supply
I18NDefault#10ohm resistor#10 ohm resistor
I18NDefault#1ohm resistor#1 ohm resistor
I18NDefault#100ohm resistor#100 ohm resistor
I18NDefault#5ohm resistor#5 ohm resistor
